,title,contents
0,출산준비물..필요한건 먼가요?~,"예정일 6월30일이예요. 2주전에 출산휴가 들어왔구요~임신초기때부터 조금씩 사모아놨는데 어제 정리할겸 다 꺼내서 적어보고사진찍어봤네요. 아직 빠진것도 많은것 같고, 첫아기이고 물려받을때가 없어 거의다 사고,해외직구로 구매했어요~출산후 조리원바로 들어가는데 준비물 대강 맞나좀 봐주세요~^^*1. 3단서랍장-지마켓2. 기저귀함-지마켓3. 면봉, 구강티슈,리틀노우즈,캘리포니아샴푸&크림,브라운체온계,얼쓰마마바텀밤,이쿠아퍼-아마존직구4. 빨래비누, 세수비누-지마켓5.쎄씨기저귀봉투,토미티피젖병,먼치킨오리,옥소브러쉬,젖병건조대-아마존직구6.나비잠손톱깍이셋트,젖병집게,젖병브러쉬-지마켓7.해마인형,애벌레인형-아마존직구8. 신생아목욕다라-지마켓(욕조따로 안샀어요, 좀더큰후에 사도된다고해서요)9.에티튜드세제-아이허브직구10.스와ㅏ들속싸개-아마존직구11.아기옷,바디슈트-카터스직구12.배넷저고리,가재수건,베게,타올-지마켓, 알로앤루 13. 이불요, 이불,아기침대,겉싸개, 베게, 커버 - 형님선물
 14. 아기침대-햇님토이-지마켓(플라스틱침대)15.타이니러브모빌-아마존직구16.드렉텍온습도계-지마켓17.회음부방석, 손목발목 보호대,오로패드대신 생리대 오버나이트,향균지퍼백,모유저장팩-지마켓18.란시노 수유패드,얼쓰마마 회음부스프레이,니플버터-아마존직구19.수유원피스,수유나시,수유브라,속옷-지마켓 준비한다고했는데..이정도면 되는건지, 앞으로 살것은 유모차- 시어머니,카시트-남동생,이정도고제가살껀 기저귀랑, 물티슈는 예정일 전에 사두려고 하고있어요~생각해논 기저귀는 나비잠이고, 물티슈는 페넬로페 쓸 예정이예요~ 지금살까 생각하고있는것은 수유쿠션??하고, 젖병소독기 정도인데.. 정말 필요한건지 모르겠네요.아기사랑세탁기도 사려고했는데 저희세탁기에 아기코스가 있어서 그걸로 할까 생각중이거든요.수유쿠션하고 젖병소독기는 꼭 필요한건지요~?    "
1,출산용품리스트," ★수다방 이용 전, 꼭 확인해주세요★1) 카페이용 전 반드시 카페규정 http://cafe.naver.com/imsanbu/13264822 읽어주세요.(게시물의 이동,삭제,강퇴에 대한 내용 꼭 확인하셔서, 규정위반으로 인한 카페활동제약 등 불편함이 없으시길 바랍니다.)2) 광고·홍보글/이벤트 스크랩/보험가입사은품 낚시글 등은 게시불가합니다. 3) 판매,대여,양도,부동산거래 등 금전이 오가는 거래/공구모집/구함글(판매,대여,구인구직,영업사원·홈스쿨선생·베이비시터·가사 도우미 등) 등은 게시불가합니다.4) 후기글은 해당 후기게시판으로, 의료분쟁 관련 등 지역사회 분쟁글은 이슈게시판으로 각 이동되고, 과도한 논쟁글(욕설과 비하 등)은 삭제됩니다.5) 수다방 성격에 맞지않는 이탈글은 이동 또는 삭제됩니다. (예: 임신을기다리는맘들수다방->임테기 두줄사진 등 임신확인문의글, 싱글방->이혼문의글, 외동아방->둘째찬반논쟁글, 예비신부의 임신얘기->낙태고민글)많은 협조 바랍니다. ^^    제가 아기 낳고 키우면서 느끼고 정말 필요한것만 모았어요저도 한때는 임신중이였고 고민했던 내용이라임신중이신 예비맘분들 심정이 이해되서 도움이 되고자 만들었어요당시 총 구입비용은 20만원정도였고막상 살때 이것저것 따지기보다 대중성있는 저렴한거사서 써보고 안맞음쿨하게 갈아타자!해서 주로 익히들 아는 제품으로 샀었는데 예) B&B아기세제, 존슨즈베이비 워시&로션, 하기스내츄럴물티슈약국용 100매 기저귀는 오보소 일자형기저귀나 백조기저귀와 같아요진짜 차이점을 못찾겠어요ㅋㅋ..근데 왜 가격이 비싸지 브랜드값인가 B&B는 젖병세정제 이런건 안나왔고아기세제는 이후에 불만제로에서 나왔대요저때는 방송전이여서 모르고 샀지만 지금은 추천드리지 않아요~호호에미도 있고 대체상품많으니까 B&B꺼 아기세제는 비추요~ 익숙한 브랜드명이면서 저렴한제품이죠?ㅋㅋ이게 상당히 한 몫했어요ㅋㅋ사실 제가 이것저것 써보니까 브랜드값과 아~주미묘한차이?인것같아요카시트, 바운서, 모빌 등 차후에 천천히 준비하셔도되는 제품들은 뺏어요 배개류는 100일까지 사용하지마시고 수건 깔아주는게 좋아요생각보다 짱구배개같은게 아기한테는 높아서 목에 무리가 간데요저희아가 5갤인데도 배개는 장식ㅋㅋ..고개를 하도 휙휙돌려서 뒤통수모양이 더 이쁘게 잡히네요많은 도움이되길 바래요ㅋㅋ   항목 / 용품 / 수량 / 이유 
  
     초보예비맘들이 잘 모르는 배꼽소독약!!이렇게 생겼답니다  ㅋㅋ무슨 상품후기 쓰는것 같네요  뚜껑을열면 뚜껑 안쪽에 집게가 달려있어요이걸로 소독솜을 꺼내면 됩니다  솜뭉치가 저렇게 동글동글하게 코튼볼형태로 되어있어서소독하고 버리기에 참 간편해요 저희 아가는 벌써 5개월이되어서 소독솜을 더이상 쓸일이없어서저랑 신랑이랑 상처난곳주변 소독할때 쓰고있어요ㅋㅋ 막상쓰고나니까 아직 할말도 더 많이 남았는데ㅋㅋ나는 아직 모든걸 전수해주지 못했는데!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흑흑나머지는 생활하면서 몸소 느껴보는게 좋을꺼 같아요그때그때 검색도 해보고 도움도받고 예비맘들 홧팅ㅋㅋㅋ   "
2,꺄학! 출산 후 다이어트 성공!,"  

  다이어트 전 사진을 다시보니 끔찍하네요  한약 먹은지 벌써4달이 다 되어 가네요
처음에 조리원에서 알게된 다이어트 한의원은수유모를 위한 전문 다이어트 한의원이라고 했지만
혹시나 하는 불안한 마음때문에 선뜻 한약을 먹지 못했습니다 사실 지금 생각해보면 수유모를 위한전문 다이어트 한의원이라는 부분이가장 안심되고 좋았던거 같네요 하여간에..아기 낳고 100일안에 해야 효과적이라고 했지만
금액적인 부담감과 혹시나 수유중에 아기에게
문제가 생길까봐 선뜻 진행하기가 어려웠습니다
수유하고 100일이 지나면 자연스럽게 빠지는다는 말은
모두 남의 이야기 였습니다.   중간에 너무 빠지지 않아 운동을 시작했습니다
한달가량 음식 조절과 함께 PT와 헬스를 병행하며
운동을 했지만 정말 단 1키로도 빠지지 않아
무척 좌절하고 우울증 비슷한 증상도 있었습니다.
집에서도 다들 6개월 안에는 빼야지 안그럼 평생 그몸으로 산다며
엄청 걱정을 하기 시작했습니다
그때 당시의 감정을 생각하면 정말 말그대로 좌절이었습니다
거울보기도 힘들고 사람들 만나기도 힘이들었습니다
  다들 애기 낳으면 다 그렇다고 하지만 요즘 애기 엄마들이 더 이쁜거
다들 공감하리라 생각합니다 사실 애기 가지기 전에는 마른상태 였기때문에
내 몸 상태를 받아들이기가 굉장히 어려웠습니다
결국 집안 모두를 설득해서 다시 한의원을 찾았습니다
원장님의 자세한 설명과 상담에 그동안의 걱정을 모두 덜고
한약을 먹기로 했습니다한의원 방문 당시 제 몸무게는 69.5kg 이었습니다
수유중이라 먹는것도 너무 줄이기가 어려웠고 운동은 생각도
할 수가 없었습니다. 
  반신 반의로 시작했던 한약이었지만 정말 조금씩 빠지는것이
너무나도 신기했습니다
정말 단순히 한약과 음식 조절로 현재 54.5키로 까지 빠졌는데요
아직 한달 가량은 더 남은 상황이라 조금 더 빠지지 않을까 싶어요 유난히 살이 잘 안빠지는 체질이라 너무나 걱정했던것과 달리
한약 덕분에 -15kg인 지금까지 온것 같습니다
  둘째도 계획하고 있는 터라 또 살찔 일이 걱정이지만
노력하는데 까지 해보구 또 많이 찐다면(?) ㅋ지금 다니는 한의원을 찾을 예정입니다
모두들 궁금해 할 수유하는 아기도 너무너무 이쁘고 튼튼하게
잘 자라고 있답니다~~~   우울함에서 벗어나게된 요즘 한의원을 알게되서 넘 감사하다는 생각이 들어요
다른 산모들도 비만에 너무 걱정 마세요 ㅎ
저 처럼 안빠지는 사람도 이렇게 성공 할 수 있으니까요~^^  모두가 날씬해지길 바라는 마음에 정보 공유하고 싶네요 "
3,출산준비 서랍장좀 골라주세요~~^^," ★수다방 이용 전, 꼭 확인해주세요★1) 카페이용 전 반드시 카페규정 http://cafe.naver.com/imsanbu/13264822 읽어주세요.(게시물의 이동,삭제,강퇴에 대한 내용 꼭 확인하셔서, 규정위반으로 인한 카페활동제약 등 불편함이 없으시길 바랍니다.)2) 광고·홍보글/이벤트 스크랩/보험가입사은품 낚시글 등은 게시불가합니다. 3) 판매,대여,양도,부동산거래 등 금전이 오가는 거래/공구모집/구함글(판매,대여,구인구직,영업사원·홈스쿨선생·베이비시터·가사 도우미 등) 등은 게시불가합니다.4) 후기글은 해당 후기게시판으로, 의료분쟁 관련 등 지역사회 분쟁글은 이슈게시판으로 각 이동되고, 과도한 논쟁글(욕설과 비하 등)은 삭제됩니다.5) 수다방 성격에 맞지않는 이탈글은 이동 또는 삭제됩니다. (예: 임신을기다리는맘들수다방->임테기 두줄사진 등 임신확인문의글, 싱글방->이혼문의글, 외동아방->둘째찬반논쟁글, 예비신부의 임신얘기->낙태고민글)많은 협조 바랍니다. ^^  32주가 됐는데 출산준비를 하나도 못한 임산부에요~~^^;;우선 베이비장을 먼저 들이고 하나씩 들여야 할꺼 같아서요.. 집에 수납공간도 없고..그런데 베이비장보다는 다들 서랍장을 추천하시더라구요..왠만함 큰걸로 하라고...그런데 보통 5단 서랍장 폭이80센치로 나오는데요.. 80센치 해보니.. 진짜 크지 않더라구요..그래서 광폭100센치로 알아보니.. 20센치가 더 크다고 가격이 거의 두배차이가 나네요..차라리 그럴바에는 80센치를 두개살까? 싶기도 하고..그럼 좀더 주고.. 시트지 말고 삼나무로 살까 싶기도 하고...지금 일주일째 씨름중이에요..ㅠㅠ 지금 줄인 후보는요..1. 삼나무이구요...가격은 30만원대 중반.. 오래두고 사용하기 좋을꺼 같아요.. 폭도 100센치이구요..  2. 이것두 삼나무인데.. 페인트로 칠한거네요.. 이건 30만원후반..거의 40만원...    튼튼하고.. 디자인도 이쁘고.. 맘에 드는데 넘 비싸네요..3. 이건 시트지 붙인거에요.. 사이즈는 위에것도 같이 100센치인데.. 가격은 20만원대 중반.. MDF에 시트지라서..   얼마나 튼튼할지.. 좀 걱정되구요.. 그래도 디자인은 넘 이뻐서요..^^;;.  4. 이건 10만원정도로 저렴하구요.. 대신 폭이 80센치로 작아요.. 그래서 그냥 이걸 두개 사는것도 괜찮지 싶어요..    그럼 20만원이구요...   대신 오래쓸 생각은 접어야 겠지요.. 튼튼하지는 않을꺼라 각오해요.. 그냥 3,4년쓰고 버리고 아이방을 싹 다시 만들어   주는건 어떨까 싶은생각도 해요...    일주일간의 고민은 여기까지로 압축했어요...아.. 어떤게 좋을지..내일까지는 무조건 사야지.. 싶어요..신랑도 난리구요.. 매일 왜 안샀냐구 닥달하네요..ㅠㅠ그냥 저렴이 베이비장 사서 막 쓰고 3,4살 되믄 방을 만들어줄껄 그랬나 싶기도 하고..배는 부른데 하루종일 컴터앞에 앉아서 이러고 있으니 넘 힘드네요...선배맘들께 조언좀 구합니다~~~~1~~~2~~~~3~~~~이것좀 해주세요~~~^^언능 주문하고 좀 쉬고파요..ㅠㅠ"
4,산본제일병원 자연주의출산 경험후기(응급으로 수술),"요약 : 산본제일병원 자연주의출산센타에서 자연출산을 시도! 했으나...자궁경부가 10cm 다 열리도록 아기가 내려오지 않았다.예정일이 1주일 지나서인지 태변까지 봐서진통은 진통대로 다 하고 결국엔 응급으로 수술해서 출산ㅠㅠ나름 위험한 출산경험을 하고보니병원에서 자연주의출산을 시도하길 잘했다는 생각이 든다. 후기 의도 : 이 카페의 어떤 분이 쓴 병원 자연주의출산후기를 읽다보니 나도 출산후기를 공유하고싶다는 생각이 들어서 쓰게 됐음 ㅋ 산모 82년생예정일 : 2012.12.19출산일 : 2012.12.27여아 3.46kg 배경 : SBS스페샬을 보고 자연주의출산에 급 관심!!조산원에서 출산하고 싶었는데 부모님의 만류로 병원에서 자연주의출산을 하기로 했다.마침 가까운 산본제일병원에서 수중분만, 자연주의출산 등을 한다기에 수중분만을 할지 자연주의출산을 할지 고민하다가 자연주의출산을 하기로 결정~ 강중구원장님께 진료를 받으면서 출산준비를 하게 되었다.무엇보다도 산본제일이 자연출산률 경기도권 최고라서 맘에 들었다. 후기 :12. 25 크리스마스 저녁 즈음 진통 시작.산본제일 자연주의산전강좌에서 배운대로(유료) 라마즈 호흡을 하면서 진통주기가 어느정도 짧아질때까지 기회를 엿보다가.계획대로 자연주의출산실로 입원했다. 입원하자마자 내진을 해보니 2.5~3cm 정도 열렸단다.참고로.. 난 애가 안내려 와서 그런지??? 10cm 다 열리도록 진통은 참을만 했다.긴장되고 두려운 마음이었으나 포근하고(다른 입원실에 비해서 많이 따듯했음) 아늑한 자연주의출산 방에서 남편과 편안하게 휴식을 취할수 있었다.(추억으로 남기겠다며 남편이 사진을 막 찍어댐)   밤동안 계속되던 진통은 26일 낮이 되니 희안하게도 사라졌다.;; 왜그러는지 이해가 가지 않는다. 아침으로 호박죽을 먹고~ 점심은 치킨..; (치킨같이 소화안되는건 먹으면 안된다고 함)  이날은 산전강좌를 해주셨던 간호부장님이 잘하고 있냐며 감사하게도 친히 방문해 주셨다.남편과 함께 여러가지 도움이 되는 운동과 마사지 등도 배우고 사진 촬영도 허락해 주시고~^^ ㄳㄳ 강의에서 배운 것 처럼 진통올때 남편이 호흡을 같이 해주거나허리며~ 다리를 마사지해주니 한결 편해지더라. (아래 사진은 간호부장님 촬영ㅋㅋ)  밤이오니 다시 진통이 시작됐고 남편과 함께 내집처럼 편하게 진통할 수 있어서 진통하는 시간들이 너무 행복했다.
그리고.. 그네분만시 쓰는 그네에 몸을 맡기면서진통을 참으니까 진통참는데는 정말 최고더라..(양 옆으로 막 흔들면서 호흡했음... 방법은 모르고 내맘대로ㅋ)  그런데 이때까지가 가장 행복했던 순간... 그네에서 9cm 다 열렸는데, 이 이후로는 멘붕이다. ㅠㅠ  27일 낮이 되니 다시 진통간격이 점점 다시 길어지는게 아닌가? 9cm가 다 열렸는데 이상하다는 생각이 들어서...혹시 태변본거 아닐까?양수를 터뜨리면 진통간격이 짧아지고 진행이 빠르게 되지 않을까??? 하는 생각에..양수를 터뜨려 달라고 요청했다.(진통시간이 너무 길어서 지치기도 했고, 왜인지 모를 불길한 예감에 이때부터는 자연주의고 뭐고 없었다 ㅠㅠ)   간호사님이 양수를 터뜨렸는데.  아니나 다를까 태변색이 나오는게 아닌가...아가는 너무 위에 있다고 하고... 맘이 불안해지기 시작했다.그때부터는 그냥 막 촉진제도 놔달라고 하고,촉진제 맞으니 10cm 다 열렸고 진통 간격은 짧아졌는데갑자기 막 휘몰아 치는 통증에 적응이 안되더라 ㅋㅋ 결국에는 무통을 외치고.. ㅋㅋ무통 맞았는데 소용없었고..ㅠㅠ (여전히 아팠음)양수를 터뜨리고 7시간이 지나도록 아가는 너무 위에 있고... 결국에는 태변을 본 아가가 너무 걱정되고.. 아가는 내려올 생각도 없고...오랜진통에 멘붕이 와서 결국에는 제왕절개를 외치기에 이르렀다.(눈물이 앞을 가린다) 그렇게 눈물의 수술에 들어간지 5분만에 아가를 간호사님이 밖으로 데리고 나왔다는 후문. ㅋ수술 직전까지 나는 정말 죽음의 고통을 맛본듯 ㅋ

 태변을 봤고 진통간격이 길어서 걱정했던것과는 달리 아가는 매우 건강하게 출산^^*요로코롬 이쁜 아가를 출산하고 입원실로 올라갔다.나의 노고를 위로하는 신생아실 면회카드와 꽃바구니들 ㅋ출산 다음날 오전 아가에게 처음으로 젖을 물려볼수 있었다. (평생 잊지못할 경험...^^) 한겨울... 너무 춥고, 눈이 많이와서 길 미끄럽단 핑계로 운동을 못했더니아가가 내려오지 않은걸까... ㅠㅠ 내가 운동을 많이하고 시도했다면 결과가 달랐을지도 모르겠다는 생각이다. 태변을 보고, 아가가 내려오지 않아서 응급으로 제왕절개를 했지만아가는 건강하게 출산해서 결국은 해피엔딩으로 끝난 내 출산후기~^^ㅋ이런말 조심스럽지만 내 경우에는 원래 계획대로 조산원에서 낳았으면 결과가 어찌됐을지... 눈앞이 캄캄해진다. 물론, 나는 아래로도 피를 쏟고... 배로도 쏟고..ㅠㅠ 회복하는데 다른 사람들보다 많은 시간이 걸렸다. 마취가 덜풀린건지.. 기력이 쇠했는지.. 한달간 어지럼증에 시달리고.. 그 이후로도 계속 기운이 없더라 ㅋ  자연주의출산 성공후기는 아니지만 출산성공후기로 봐주셨음 좋겠다.^^ ㅎㅎㅎ 다른 분들은 운동 열심히 해서 꼭 안전하게 출산에 성공하길 바란다^^  "
5,"42주+2일/37세 초산 /기통맘 자연주의 출산으로 올드맘 순산 성공하다(화음부 절개x, 무통x, 촉진제x, 관장x, 제모 X)","출산 예정일을 훌쩍 지나 임신 42주째를 달리고 있다. 핸폰 카톡에 불이 난다. ""애기 낳았냐?""고..늘 여유로웠던 병원 원장쌤마저""엄마, 42주 넘어가면 통상적으로 다들 유도해요."" 헐.. 자출 성공 케이스로 동네방네 소문내고 싶었건만.. 스트레스 지수가 올라갈 무렵 기통맘 조산사 김수미 이사님 말씀이 생각난다.""스트레스 받지 마요. 아가가 짜증내네. 알아서 잘 나갈건데 다들 걱정 말라고..아이고 똑똑이.""내 배에 귀를 대고 들려주신 말씀..아기의 미묘한 움직임으로 싸인을 읽어내는 이사님 능력도 신기했지만..뱃속의 아기가 나보다 강하다는 사실에...... 울컥했다.그래, 릴랙스~~~ 자연주의 출산을 선택하게 된 계기는남편의 추천도 있었지만늘 내 몸 하나 아끼는덴 사리지 않았던 터라 자출의 장점에 혹했다.엄마 몸 회복도 빠르고 의료적 개입 없이 굴욕 3종 세트도 없고.. 세상 밖으로 처음 나온 아기에게가장 자연스럽게 인위적 자극 없이 건강한 출산을 할 수 있다는.. 그래, 이거다!! 남편과 함께 9개월째부터 자출 병원을 알아보는데허거덩~ 얼마요? 가격이... 보통 출산의 3~4배 차이.'내 인생에서 이보다 더 중요한 순간이 있을까?피부관리나 성형도 이것보단 비싸지. 돈 쳐발라도 별 티도 안 나는데......'우린 스스로 머리를 세뇌시켰다. 요가 쌤의 추천을 받은 기통맘 자연주의 출산 센터로 고고!  산전 마사지 받고 요가 하고 몸과 마음의 준비를 하던 차출산 예정일이 지나 버렸네??그때부터 매일매일 센터를 내 집마냥 드나들며김 이사님과 둘라 쌤 이승연 팀장님에게 몸 구석구석 촉진 마사지를 받았다.어제는 심장을, 오늘은 위장을, 내일은 간담 부위를 해독하고내장근을 부드럽게 하는 운동과 식이요법 병행을...  촉진을 위해 단맛나는 음식이 있다는 걸 첨 알았다.흑설탕물, 고구마, 호박, 양배추 등등..진행 안 되는 내 몸뚱아리가 저주스러울 만큼정말 많은 관리를 받았다. 자출의 의지가 아니었음..병원에 입원해서 촉진제 맞고 누워 있을 상황이었다.그리고 드뎌 42주째 딱 되는 날2월 22일 금요일 새벽, 진통이 시작됐다. 규칙적으로 아랫배가 아프다.남편과 환호성을 지른다.뭐부터 해야 되냐. 가방 싸라. 샤워 해라. 밥 먹자..어라? 그런데 점점 간격이 불규칙해진다.둘라 샘이 가진통이란다.""호호, 진진통이 곧 올 거예요.""전 이미 마이 아픈디요. 진진통은 뭐다요? 다음 날 토요일 오후 본격적 진진통이 시작됐다.아, 이거구나!! 허리와 꼬리뼈, 허벅지 뼛속으로 휘몰아치는 아픔. 사지가 뒤틀린다.폭풍 진통 쓰나미가 1분 정도 쓸고 온다. 곧 사라진다. 온다. 환장한다. 진통 간격도 3분, 2분, 1분으로... 짧아진다.""이따 힘 줘야 하니까 밥 먹고 오세요!""오후 7시쯤 남편과 설렁탕 집 가서 도가니탕 시킨다.숟가락 들기 무섭게 진통이 훅~~식당 아줌마 걱정스럽게 나를 쳐다본다.""곧 출산하겠는디.. 밥 먹어도 되는가?""도가니가 콧구멍으로 들어가는지, 눈구멍으로 들어가는지도 모르게손을 덜덜 떨며 꾸역꾸역 밀어 넣는다.비쌌는데 반도 못 먹었다.이때 도가니 뼈째라도 몽땅 씹어 먹을걸..나중에 후회했다. 밥 먹고 오니 운동실로 안내했다.""진통 오면 긴장하지 말고, 숨참고 열까지 세 봐요.""짐볼 위에 몸을 던지고 진통을 견딘다.몸이 이완되어야 자궁문이 잘 열린단다.""으윽, 진통이 와요. 오고 있어요!""이사님, 둘라샘 마사지에 진통이 점점 사그라든다.내 평생 그렇게 간절히 원했던 손길이 있었던가? ^^문이 7~8센티 열리고 진통에 익숙해질 무렵""이것보다 진통이 더 세져요?""""아니요. 이게 끝이에요! ^^""아아아~~ 주여~ 할렐루야! ""이제부터는 힘 주기로 들어갈 거예요.""희안하게도 그 타이밍부턴 아프기만 했던 진통이 사라지고몸에 절로 힘이 들어가는 진통이 왔다.뭔가 시원하게 배설해야 할 것 같은...아.. 이게 티비에서만 보던 힘 주기구나.""소리 지르지 마요. 힘 다 빠져요.""""흐~~~읍!""""잘한다, 잘한다. 힘 정말 잘 준다.""이사님과 둘라샘의 칭찬에난 정말 춤추는 고래 마냥 똥싸듯이 항문에 힘줬다.이상하게도 그렇게 고통스럽지는 않았다.알 수 없는 희열감이 몰려 오는게.. 이,,이거 체질인가???힘 주는 중간 양수가 촤악~~~ 쌤들 양수 세례를 받으시고..회음부 열상이 생기지 않도록 힘 줫다 뺐다. 힘줬다 뺐다...6시간 만에 머리가 외계인 모냥의 아기가 나왔다. 때 되면 나갈 테니 걱정 말라던 시크했던 아기.조그마했다. 3.06키로..'아, 이렇게 작아서 뱃속에 더 있고 싶었구나! 미워해서 미안해.'가슴에 안은 아기의 처음 느낌은 따뜻했다... 그리고 부드러웠다.아기는 울지도 않고 옹알옹알 옹알이를 했다.아기가 태어나서 우는 건 충격 때문이라고.. 익숙하지 않는 세상의 빛과 소리 때문에..  이후, 남다른 가슴 크기와 넘쳐날 젖 양으로 고생할 나를 위해이사님이 기통맘 마사지샵이 있는 산후조리원을 추천해 주셨다.젖몸살, 유선염이 충분히 올 수 있었는데도초장에 가슴 관리를 잘 받은 덕분인지 꽤 안정이 되었다. 자출의 감동은 진통의 고통보다 훨씬 크다고 말하고 싶다.  그리고 무엇보다 산모의 의지가 가장 중요하다.^^ 진통 쓰나미 때 마사지로 풀고 이완하고 있어요. 아기가 태어나자마자 베이비 스위밍하는 모습이에요. "
6,출산후기 39주 21살 초산 남아 2013.9.11 7시45분 3.0kg 남아 무통ㅇ 관장&제모ㅇ 회음부절개ㅇ,
7,출산후 좋은음식 젖량늘리는방법,"출산후 한 15일째됐는데....모유유축해보니 30ml정도슬프게도 젖량은 너무 없고 둘째라 산후조리도 잘 못해서... 우울하더라구요 ㅠ_ㅠ둘째이이는 100ml정도 먹으려고 하는데 말이죠....흑흑흑흑흑그래서 첫째아이때와 같이 모유먹이고 분유수유하고이번이 마지막 출산이라 몸조리도 걱정되기에출산후 좋은음식 젖량늘리는방법 등을 검색하고 또 검색ㅠ_ㅠ     잉어즙?가물치즙?을 먹어야 되나 스틸티?락티?도 같이 먹어야되나 고민고민젖량늘리려고 마사지받으러 두번 갔었는데....전 요것도 별로 효과가 ㅠ_ㅠ인터넷 검색하던중에 모유랑아가랑이라는 모유촉진차가 있더라구요...모유수유와 산후조리를 한꺼번에 도와주고 아이에게도 영양가있는 젖을 줄 수 있다기에...출산후 좋은음식 젖량늘리는방법 으로 그냥 모유랑아가랑 선택^^        모유촉진차 모유랑아가랑은 100ml씩 30팩 들어있구요...하루에 두세번 따뜻하게 섭취하면되요사실 냄새가 고약할까봐 걱정이었는데....먹어보니 부드러운 느낌의 한약스타일....생각보다 목넘김이 좋아요.      요거 먹자마자 모유가 팍팍는건 아니구요 ㅎㅎ신기하게 먹고 그다음날 바로 오로가 배출되더라구요둘째는 수술로 분만해서 오로가 별로 없길래 2주만에 없어졌나보다 했는데...끝난게 아니라 고여있었나봐요ㅠㅠ먹자마자 모유랑아가랑이 오로배출에도 도움을 주네요~^^그리고 전엔 몸도 찌뿌둥해 일어나기가 그렇게도 힘들더니... 몸이 훨씬 가뿐해졌어요.^^출산후 좋은음식인거 같아요.   모유랑아가랑 5일정도 먹으니 가슴이 찌르르한 느낌이 들면서 젖이 차는 느낌이 드네요.모유랑아가랑 효과인가요?ㅋㅋㅋ 모유 도는 느낌인가봐요요거 먹기전에 유축했을때 40ml... 10일먹고 120ml 조금 넘게 유축되네요유축된거 보니 젖량늘리는방법 으로도 괜찮은거 같아여..완모하고 싶은 욕심까지 들더라구요..^^ 앞으로는 더 열심히 먹어야 겠어요~       저처럼 출산후 좋은음식 젖량늘리는방법 알아보시는 분들은 모유랑아가랑 한번 드셔보세요.저는 먹어보니 3일뒤부터 확실한 효과가 보이더라고요.그리고 모유랑아가랑을 마시면서 젖을 자주 물려주시고 끼니 거르지말고, 물도 자주 마시고(하루에 2L이상이 좋다고해요)제일 중요한 스트레스도 받지 않는다면 금새 모유양도 늘어날거에요.여러 가지로 산후조리나 모유수유로 고민이신 분들께 추천해드려요^___^ "
8,임수방 졸업하네요~^^*(출산 후기),
9,35주 6일 쌍딩이아들 출산햇어요!,
